Добавлен,Название,Год,Жанр,Актёры,Оценка,Комментарий
10.04.2017 13:00:00,Отступники,,,,,
11.04.2017 13:00:00,тебя никогда здесь не было,,ужасы,,4,"10 первая половина, 2 вторая. Марафон долбоебизма во второй половине. В первой это не бросалось в глаза, но во второй начали всплывать вопросы: где шумка, почему такой огромный шумный дом, почему не вырыть яму и не спрятаться итд. хуйня из 10 в сумме"
12.04.2017 13:00:00,Любой ценой,,,,,
13.04.2017 13:00:00,11\14,,,,,
14.04.2017 13:00:00,Олдбой,,,,,
15.04.2017 13:00:00,Заводной апельсин,,,,,
16.04.2017 13:00:00,На север через северо-запад,,,,,
17.04.2017 13:00:00,2001 космическая Одиссея,,,,,
18.04.2017 13:00:00,3 идиота,,,,,
19.04.2017 13:00:00,Афера,1973,,,,
20.04.2017 13:00:00,В джазе только девушки,,,,10,классика
21.04.2017 13:00:00,Сокровища Сьерра Мадре,,,,,
22.04.2017 13:00:00,Способный ученик,,,,,
23.04.2017 13:00:00,"Хороший, плохой, злой",,,,,
24.04.2017 13:00:00,Приведение,,,,10,классика
25.04.2017 13:00:00,Головоломка,,,,,
26.04.2017 13:00:00,"Карты, деньги, два ствола",,,,,
27.04.2017 13:00:00,Комната,2015,,,,
28.04.2017 13:00:00,Волк с Уолл-стрит,,,,10,топчик
29.04.2017 13:00:00,Нечто,1982,,,,
30.04.2017 13:00:00,Ева искусственный разум,,,,,
01.05.2017 13:00:00,Гладиатор,,,,,
02.05.2017 13:00:00,Крестный отец,,,,,
03.05.2017 13:00:00,Меч короля Артура,,,,8,Прикольно
04.05.2017 13:00:00,Мышиная охота,1997,,,9,В пятый раз уже не круто но вообще орал как птиродактиль
05.05.2017 13:00:00,Глубокое синее море,,,,,
06.05.2017 13:00:00,Добро пожаловать в капкан,,,,,
07.05.2017 13:00:00,Великий Гэтсби,,,,,
08.05.2017 13:00:00,Леон,,,,,
09.05.2017 13:00:00,Книга иллая,,,,,
10.05.2017 13:00:00,Вымирание,,,,,
11.05.2017 13:00:00,Путь домой,,,,,
12.05.2017 13:00:00,Выкуп ,,,Джерард Батлер,,
13.05.2017 13:00:00,Счастливое число слевина,,,,,
14.05.2017 13:00:00,Шанхайский полдень,,,,,
15.05.2017 13:00:00,Пуленепробиваемый монах,,,,,
16.05.2017 13:00:00,Призрачный гонщик,,,,,
17.05.2017 13:00:00,Из Парижа с любовью,,,,,
18.05.2017 13:00:00,Одним меньше,2012,,,,
19.05.2017 13:00:00,Хакер,2016,,,,
20.05.2017 13:00:00,Законопослушный гражданин,,,,,
21.05.2017 13:00:00,Время ведьм,,,,8,
22.05.2017 13:00:00,Приказ огня не открывать,,,,,
23.05.2017 13:00:00,Бионикл,,,,,
24.05.2017 13:00:00,Тед,,,,,
25.05.2017 13:00:00,Мальчишник в Вегасе,,,,,
26.05.2017 13:00:00,дорога в арлингтон,,,,,
27.05.2017 13:00:00,Мачо и ботан,,,,,
28.05.2017 13:00:00,Хочу как ты,,,,,
29.05.2017 13:00:00,Крутые меры,,,,,
30.05.2017 13:00:00,Несносный дед,,,,,
31.05.2017 13:00:00,Каникулы,,,,,
01.06.2017 13:00:00,Здравствуй папа новый год,,,,,
02.06.2017 13:00:00,Свадьба Уайлд,,,,,
03.06.2017 13:00:00,Железная маска,,,,,
04.06.2017 13:00:00,Спасительный рассвет,,,,,
05.06.2017 13:00:00,На глубине 6 футов,,,,,
06.06.2017 13:00:00,Миссия невыполнима,,,,8,"Прикольно, но борн и бонд больше заходят"
07.06.2017 13:00:00,Жандармы,,,,,
08.06.2017 13:00:00,мадам,,,,,
09.06.2017 13:00:00,Парфенов,,,,,
10.06.2017 13:00:00,Как быть мужиком,,,,,
11.06.2017 13:00:00,Братья из гримсби,,,,,
12.06.2017 13:00:00,фильмы про вулканы,,,,,
13.06.2017 13:00:00,Талантливый мистер риппли,,,,,
14.06.2017 13:00:00,заложник,,,,,
